1,"2019-07-01",13,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
2,"2019-07-03",15,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
3,"2019-07-04",13,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
4,"2019-07-04",15,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
5,"2019-07-05",11,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
6,"2019-07-05",13,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
7,"2019-07-07",17,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
8,"2019-07-07",19,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
9,"2019-07-09",19,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
10,"2019-07-09",21,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
11,"2019-07-10",21,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
12,"2019-07-12",17,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
13,"2019-07-12",19,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
14,"2019-07-14",19,1,"2019-10-14 15:06:24","2019-10-14 15:06:24"
15,"2019-07-01",15,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
16,"2019-07-01",17,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
17,"2019-07-02",13,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
18,"2019-07-02",15,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
19,"2019-07-03",21,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
20,"2019-07-03",23,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
21,"2019-07-04",17,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
22,"2019-07-05",11,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
23,"2019-07-05",13,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
24,"2019-07-06",15,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
25,"2019-07-07",21,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
26,"2019-07-07",23,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
27,"2019-07-08",11,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
28,"2019-07-09",17,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
29,"2019-07-09",19,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
30,"2019-07-10",13,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
31,"2019-07-13",19,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
32,"2019-07-13",21,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
33,"2019-07-14",11,2,"2019-10-14 15:06:24","2019-10-14 15:06:24"
34,"2019-07-02",15,3,"2019-10-14 15:06:24","2019-10-14 15:06:24"
35,"2019-07-02",17,3,"2019-10-14 15:06:24","2019-10-14 15:06:24"
36,"2019-07-04",17,3,"2019-10-14 15:06:24","2019-10-14 15:06:24"
37,"2019-07-04",19,3,"2019-10-14 15:06:24","2019-10-14 15:06:24"
38,"2019-07-06",17,3,"2019-10-14 15:06:24","2019-10-14 15:06:24"
39,"2019-07-08",11,3,"2019-10-14 15:06:24","2019-10-14 15:06:24"
40,"2019-07-08",13,3,"2019-10-14 15:06:24","2019-10-14 15:06:24"
